Name,F1,F2,F3,F4,F5,F6,F7,F8,L
P2B2_YEAST,0.59,0.5,0.52,0.28,0.5,0,0.55,0.25,1
CALB_YEAST,0.37,0.42,0.51,0.11,0.5,0,0.57,0.22,1
CYB_YEAST,0.61,0.72,0.31,0.33,0.5,0,0.56,0.22,3
COFI_YEAST,0.44,0.42,0.6,0.21,0.5,0,0.57,0.22,1
COQ1_YEAST,0.52,0.51,0.51,0.54,0.5,0,0.55,0.27,3
COQ2_YEAST,0.63,0.56,0.45,0.58,0.5,0,0.51,0.22,3
COQ3_YEAST,0.52,0.56,0.54,0.53,0.5,0,0.45,0.22,3
UCR1_YEAST,0.58,0.58,0.58,0.49,0.5,0,0.49,0.26,3
COT1_YEAST,0.72,0.62,0.34,0.29,0.5,0,0.56,0.28,3
COX1_YEAST,0.72,0.61,0.37,0.3,0.5,0,0.57,0.22,3
COXX_YEAST,0.46,0.43,0.38,0.33,0.5,0,0.48,0.28,3
COXZ_YEAST,0.57,0.57,0.44,0.37,0.5,0,0.52,0.25,3
COXG_YEAST,0.42,0.31,0.62,0.12,0.5,0,0.4,0.22,3
COXE_YEAST,0.49,0.46,0.45,0.45,0.5,0,0.52,0.22,3
YEX1_YEAST,0.42,0.58,0.41,0.65,0.5,0,0.46,0.26,3
COX2_YEAST,0.59,0.61,0.34,0.22,0.5,0,0.51,0.22,3
COX3_YEAST,0.52,0.77,0.38,0.34,0.5,0,0.51,0.22,3
COX4_YEAST,0.5,0.52,0.6,0.51,0.5,0,0.48,0.22,3
COXA_YEAST,0.49,0.6,0.43,0.56,0.5,0,0.36,0.22,3
COXB_YEAST,0.5,0.41,0.44,0.5,0.5,0,0.42,0.22,3
COX6_YEAST,0.5,0.4,0.56,0.7,0.5,0,0.5,0.22,3
COX7_YEAST,0.37,0.58,0.44,0.51,0.5,0,0.44,0.22,3
COX8_YEAST,0.55,0.45,0.45,0.54,0.5,0,0.5,0.22,3
COX9_YEAST,0.67,0.68,0.46,0.29,0.5,0,0.46,0.22,3
CARA_YEAST,0.53,0.51,0.46,0.28,0.5,0,0.48,0.22,1
CARB_YEAST,0.35,0.66,0.49,0.21,0.5,0,0.54,0.25,1
CYPH_YEAST,0.52,0.4,0.6,0.12,0.5,0,0.55,0.22,1
CYPC_YEAST,0.47,0.46,0.59,0.49,0.5,0,0.56,0.22,3
CRM1_YEAST,0.56,0.52,0.48,0.17,0.5,0,0.46,0.22,2
R141_YEAST,0.57,0.41,0.59,0.24,0.5,0,0.4,0.22,1
R142_YEAST,0.56,0.41,0.58,0.21,0.5,0,0.42,0.22,1
CSE1_YEAST,0.58,0.56,0.45,0.12,0.5,0,0.51,0.22,2
CSE2_YEAST,0.53,0.38,0.66,0.25,0.5,0,0.43,0.22,2
YKE9_YEAST,0.34,0.36,0.54,0.11,0.5,0,0.36,0.21,2
CB33_YEAST,0.41,0.45,0.53,0.17,0.5,0,0.51,0.25,2
CTK1_YEAST,0.31,0.46,0.54,0.52,0.5,0,0.5,0.34,2
CATT_YEAST,0.41,0.51,0.58,0.15,0.5,0,0.45,0.27,1
MTC_YEAST,0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,1
MTC_YEAST,0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,1
CYB2_YEAST,0.53,0.44,0.51,0.33,0.5,0,0.52,0.22,3
CYC1_YEAST,0.46,0.54,0.71,0.15,0.5,0,0.59,0.22,3
CYC2_YEAST,0.4,0.56,0.48,0.14,0.5,0,0.47,0.22,3
CCHL_YEAST,0.53,0.53,0.6,0.13,0.5,0,0.49,0.22,3
CYC7_YEAST,0.42,0.57,0.72,0.22,0.5,0,0.57,0.22,3
RL2A_YEAST,0.45,0.27,0.57,0.36,0.5,0,0.52,0.18,1
CYAA_YEAST,0.2,0.26,0.52,0.14,0.5,0,0.53,0.44,1
CYS3_YEAST,0.51,0.53,0.55,0.14,0.5,0,0.51,0.22,1
CY1_YEAST,0.44,0.68,0.45,0.51,0.5,0,0.52,0.41,3
12_YEAST,0.27,0.39,0.66,0.11,0.5,0,0.44,0.22,3
DA80_YEAST,0.59,0.58,0.56,0.21,0.5,0,0.54,0.33,2
DA81_YEAST,0.39,0.28,0.46,0.12,0.5,0,0.41,0.22,2
DA82_YEAST,0.56,0.43,0.54,0.16,0.5,0,0.5,0.22,2
DATI_YEAST,0.27,0.36,0.6,0.33,0.5,0,0.37,0.31,2
DBF4_YEAST,0.35,0.4,0.59,0.22,0.5,0,0.47,0.37,2
DBP1_YEAST,0.42,0.32,0.5,0.21,0.5,0,0.51,0.22,2
DBP2_YEAST,0.23,0.2,0.53,0.2,0.5,0,0.44,0.22,2
DBR1_YEAST,0.55,0.54,0.56,0.22,0.5,0,0.5,0.37,2
DED1_YEAST,0.36,0.24,0.49,0.16,0.5,0,0.51,0.22,2
DEP1_YEAST,0.38,0.48,0.59,0.22,0.5,0,0.46,0.22,1
DYR_YEAST,0.8,0.46,0.5,0.15,0.5,0,0.53,0.22,1
DYHC_YEAST,0.6,0.56,0.47,0.2,0.5,0,0.5,0.38,2
DHH1_YEAST,0.41,0.24,0.54,0.26,0.5,0,0.41,0.22,2
DLD1_YEAST,0.47,0.65,0.54,0.62,0.5,0,0.53,0.36,3
DMC1_YEAST,0.43,0.39,0.54,0.14,0.5,0,0.47,0.22,2
DPB2_YEAST,0.5,0.51,0.52,0.09,0.5,0,0.48,0.25,2
DPB3_YEAST,0.53,0.61,0.52,0.21,0.5,0,0.55,0.3,2
SYDC_YEAST,0.46,0.35,0.53,0.16,0.5,0,0.51,0.29,1
DRS1_YEAST,0.46,0.43,0.49,0.79,0.5,0,0.49,0.63,2
DSS4_YEAST,0.56,0.52,0.55,0.19,0.5,0,0.54,0.22,1
TFS2_YEAST,0.61,0.3,0.59,0.12,0.5,0,0.49,0.27,2
DUN1_YEAST,0.37,0.53,0.46,0.23,0.5,0,0.47,0.22,2
EF1B_YEAST,0.39,0.45,0.53,0.18,0.5,0,0.54,0.22,1
EF2_YEAST,0.52,0.54,0.5,0.21,0.5,0,0.48,0.3,1
EGD1_YEAST,0.35,0.39,0.57,0.11,0.5,0,0.48,0.22,2
END3_YEAST,0.55,0.46,0.53,0.11,0.5,0,0.52,0.48,1
ENO1_YEAST,0.45,0.56,0.54,0.32,0.5,0,0.57,0.22,1
ENO2_YEAST,0.45,0.56,0.53,0.32,0.5,0,0.57,0.22,1
THIL_YEAST,0.54,0.65,0.49,0.34,0.5,0,0.52,0.22,1
KIME_YEAST,0.59,0.58,0.46,0.19,0.5,0,0.56,0.27,1
FPPS_YEAST,0.55,0.56,0.45,0.14,0.5,0,0.54,0.22,1
ERG6_YEAST,0.32,0.47,0.55,0.12,0.5,0,0.52,0.22,1
ERG8_YEAST,0.62,0.58,0.46,0.13,0.5,0,0.53,0.22,1
ESP1_YEAST,0.55,0.46,0.46,0.31,0.5,0,0.58,0.48,2
EST1_YEAST,0.35,0.6,0.47,0.13,0.5,0,0.52,0.43,2
LCF2_YEAST,0.35,0.46,0.49,0.15,1,0,0.55,0.35,1
FAD1_YEAST,0.43,0.51,0.48,0.14,0.5,0,0.5,0.22,1
FAS1_YEAST,0.57,0.61,0.45,0.26,0.5,0,0.5,0.22,1
FAS2_YEAST,0.63,0.62,0.42,0.12,0.5,0,0.52,0.25,1
COAC_YEAST,0.25,0.4,0.51,0.18,0.5,0,0.5,0.27,1
ALF_YEAST,0.56,0.62,0.53,0.24,0.5,0,0.57,0.22,1
F16P_YEAST,0.58,0.6,0.51,0.24,0.5,0,0.53,0.22,1
F26_YEAST,0.71,0.59,0.53,0.15,0.5,0,0.49,0.33,1
FHL1_YEAST,0.33,0.44,0.49,0.08,0.5,0,0.48,0.49,2
FKBP_YEAST,0.35,0.36,0.57,0.17,0.5,0,0.52,0.22,1
FKB3_YEAST,0.54,0.57,0.52,0.19,0.5,0,0.59,0.67,2
SYFA_YEAST,0.45,0.4,0.56,0.14,0.5,0,0.54,0.22,1
SYFB_YEAST,0.47,0.47,0.58,0.16,0.5,0,0.49,0.28,1
FUMH_YEAST,0.41,0.39,0.51,0.52,0.5,0,0.49,0.22,1
FUR1_YEAST,0.69,0.6,0.5,0.31,0.5,0,0.55,0.22,1
FUS3_YEAST,0.51,0.58,0.54,0.29,0.5,0,0.53,0.22,1
FZF1_YEAST,0.37,0.43,0.62,0.27,0.5,0,0.48,0.22,2
GAC1_YEAST,0.55,0.66,0.57,0.32,0.5,0,0.57,0.34,1
GAL1_YEAST,0.48,0.35,0.42,0.21,0.5,0,0.57,0.22,1
GALX_YEAST,0.62,0.58,0.52,0.15,0.5,0,0.52,0.29,1
GALY_YEAST,0.56,0.59,0.53,0.16,0.5,0,0.24,0.42,2
GAL4_YEAST,0.44,0.44,0.49,0.15,0.5,0,0.46,0.27,2
GAL7_YEAST,0.5,0.5,0.48,0.17,0.5,0,0.47,0.26,1
GAL8_YEAST,0.6,0.6,0.49,0.3,0.5,0,0.53,0.22,2
GAR1_YEAST,0.35,0.68,0.57,0.4,0.5,0,0.53,0.36,2
GBP2_YEAST,0.23,0.3,0.58,0.22,0.5,0,0.48,0.27,2
E2BG_YEAST,0.45,0.42,0.52,0.2,0.5,0,0.5,0.25,1
IF2G_YEAST,0.51,0.35,0.46,0.15,0.5,0,0.51,0.42,1
E2BD_YEAST,0.42,0.39,0.47,0.13,0.5,0,0.5,0.27,1
E2BE_YEAST,0.32,0.38,0.52,0.2,0.5,0,0.52,0.28,1
E2BB_YEAST,0.59,0.65,0.52,0.3,0.5,0,0.46,0.31,1
GCN1_YEAST,0.41,0.52,0.41,0.11,0.5,0,0.54,0.35,1
GCN2_YEAST,0.37,0.33,0.5,0.12,0.5,0,0.51,0.54,1
E2BA_YEAST,0.45,0.56,0.49,0.17,0.5,0,0.52,0.22,1
GCN4_YEAST,0.56,0.54,0.59,0.14,0.5,0,0.52,0.27,2
GCN5_YEAST,0.31,0.31,0.54,0.18,0.5,0,0.52,0.29,2
GCR1_YEAST,0.27,0.51,0.47,0.35,0.5,0,0.49,0.28,2
GCR2_YEAST,0.54,0.56,0.57,0.18,0.5,0,0.45,0.25,2
GCR3_YEAST,0.17,0.38,0.45,0.09,0.5,0,0.54,0.27,2
GCS1_YEAST,0.43,0.51,0.54,0.15,0.5,0,0.45,0.26,2
GCY_YEAST,0.6,0.4,0.59,0.18,0.5,0,0.48,0.22,1
DHE4_YEAST,0.38,0.47,0.53,0.12,0.5,0,0.48,0.22,1
DHE2_YEAST,0.59,0.43,0.52,0.19,0.5,0,0.55,0.27,1
GDI1_YEAST,0.64,0.53,0.45,0.13,0.5,0,0.53,0.22,1
GFA1_YEAST,0.52,0.51,0.51,0.12,0.5,0,0.51,0.4,1
GLGB_YEAST,0.49,0.43,0.48,0.15,0.5,0,0.55,0.25,1
PP12_YEAST,0.49,0.47,0.52,0.16,0.5,0,0.53,0.28,1
HXKG_YEAST,0.48,0.39,0.49,0.18,0.5,0,0.51,0.22,1
GLNA_YEAST,0.44,0.34,0.55,0.18,0.5,0,0.52,0.22,1
GLN3_YEAST,0.43,0.54,0.58,0.16,0.5,0,0.5,0.36,2
SYQ_YEAST,0.49,0.42,0.54,0.17,0.5,0,0.5,0.36,1
GLO3_YEAST,0.34,0.66,0.51,0.16,0.5,0,0.47,0.33,2
6PGD_YEAST,0.74,0.53,0.5,0.08,0.5,0,0.55,0.31,1
GBA1_YEAST,0.3,0.5,0.47,0.11,0.5,0,0.46,0.22,1
GPDA_YEAST,0.44,0.51,0.48,0.38,0.5,0,0.52,0.22,1
PHSG_YEAST,0.31,0.45,0.5,0.17,0.5,0,0.49,0.22,1
PMGY_YEAST,0.55,0.41,0.56,0.21,0.5,0,0.52,0.22,1
PHO2_YEAST,0.4,0.34,0.52,0.17,0.5,0,0.47,0.51,2
SYG_YEAST,0.4,0.48,0.5,0.17,0.5,0,0.54,0.5,1
GSP1_YEAST,0.58,0.48,0.56,0.1,0.5,0,0.46,0.25,2
GSP2_YEAST,0.58,0.48,0.56,0.12,0.5,0,0.46,0.25,2
UGS1_YEAST,0.58,0.45,0.48,0.24,0.5,0,0.52,0.37,1
UGS2_YEAST,0.58,0.41,0.51,0.26,0.5,0,0.51,0.37,1
GTS1_YEAST,0.41,0.6,0.53,0.29,0.5,0,0.47,0.43,2
GPDM_YEAST,0.69,0.5,0.49,0.42,0.5,0,0.49,0.22,3
HAL1_YEAST,0.38,0.49,0.61,0.13,0.5,0,0.54,0.22,1
CYP1_YEAST,0.6,0.48,0.44,0.52,0.5,0,0.54,0.63,2
HAP2_YEAST,0.47,0.49,0.63,0.17,0.5,0,0.31,0.26,2
HAP3_YEAST,0.28,0.51,0.55,0.11,0.5,0,0.46,0.22,2
HAP4_YEAST,0.56,0.57,0.63,0.39,1,0,0.59,0.4,2
HBS1_YEAST,0.21,0.38,0.49,0.16,0.5,0,0.51,0.45,1
HCM1_YEAST,0.46,0.57,0.57,0.15,0.5,0,0.52,0.26,2
HDF1_YEAST,0.43,0.42,0.54,0.22,0.5,0,0.57,0.33,2
HEM1_YEAST,0.57,0.59,0.5,0.58,0.5,0,0.53,0.22,3
DCUP_YEAST,0.48,0.34,0.47,0.14,0.5,0,0.47,0.26,1
HEM6_YEAST,0.35,0.4,0.53,0.18,0.5,0,0.42,0.38,1
HEMZ_YEAST,0.47,0.45,0.53,0.62,0.5,0,0.46,0.22,3
HEM2_YEAST,0.53,0.43,0.47,0.15,0.5,0,0.58,0.22,1
HEM3_YEAST,0.46,0.45,0.56,0.16,0.5,0,0.56,0.22,1
HEX2_YEAST,0.44,0.42,0.62,0.14,0.5,0,0.55,0.37,2
H4_YEAST,0.37,0.34,0.58,0.24,0.5,0,0.44,0.18,2
H4_YEAST,0.37,0.34,0.58,0.24,0.5,0,0.44,0.18,2
H3_YEAST,0.39,0.39,0.55,0.52,0.5,0,0.37,0.16,2
H3_YEAST,0.39,0.39,0.55,0.52,0.5,0,0.37,0.16,2
HIR1_YEAST,0.48,0.57,0.5,0.09,0.5,0,0.52,0.42,2
HIR2_YEAST,0.61,0.57,0.45,0.21,0.5,0,0.5,0.42,2
HIS7_YEAST,0.56,0.44,0.56,0.19,0.5,0,0.54,0.22,1
MAT1_YEAST,0.37,0.22,0.64,0.35,0.5,0,0.47,0.22,2
MAT2_YEAST,0.51,0.48,0.58,0.22,0.5,0,0.5,0.28,2
MTA1_YEAST,0.49,0.37,0.59,0.17,0.5,0,0.51,0.22,2
MAT2_YEAST,0.51,0.48,0.58,0.22,0.5,0,0.5,0.28,2
HO_YEAST,0.53,0.53,0.53,0.17,0.5,0,0.49,0.37,2
HOP1_YEAST,0.29,0.68,0.47,0.26,0.5,0,0.47,0.37,2
HPR1_YEAST,0.5,0.45,0.49,0.15,0.5,0,0.55,0.43,2
